time[s], wr_x[mm], wr_y[mm] 
0.0003,8.9515,20.1231
0.0238,8.9539,20.1239
0.0262,8.9464,20.1218
0.0301,8.9524,20.1274
0.0375,8.9448,20.1463
0.0475,8.9554,20.1352
0.0654,9.3007,20.1547
0.0671,10.05,20.2432
0.0777,11.0393,20.3886
0.0969,12.1285,20.4651
0.0979,13.2577,20.3813
0.1074,14.4059,20.268
0.1284,15.6203,20.2621
0.1292,17.0234,20.4234
0.1378,18.5308,20.5598
0.1474,20.1118,20.603
0.1576,21.7461,20.4888
0.1676,23.2497,20.3809
0.1777,24.6667,20.3517
0.1886,26.0728,20.2948
0.1976,27.5633,20.333
0.2075,29.0308,20.4023
0.2176,30.5412,20.3457
0.2275,32.1365,20.3969
0.2378,33.7134,20.5235
0.2604,35.2375,20.4836
0.261,36.7687,20.4606
0.2673,38.3756,20.4391
0.2885,40.043,20.4858
0.2893,41.6143,20.5752
0.2975,43.1234,20.5411
0.32,44.6682,20.5478
0.3211,46.2796,20.6703
0.3274,47.9337,20.8077
0.3521,49.548,20.9503
0.3529,51.053,20.916
0.3576,52.5519,20.7959
0.383,54.1286,20.8134
0.384,55.862,20.9919
0.3872,57.5936,21.2236
0.3974,59.2273,21.3174
0.4208,60.806,21.3215
0.4219,62.4081,21.3794
0.4274,64.1237,21.5444
0.4526,65.8346,21.8281
0.4534,67.5159,21.9091
0.4577,69.1134,21.8171
0.4676,70.7054,21.8629
0.4778,72.4274,22.0311
0.4875,74.0703,22.2408
0.4977,75.7553,22.4057
0.5084,77.4081,22.4524
0.5176,79.0639,22.4562
0.5273,80.6667,22.6076
0.5374,82.2905,22.7572
0.5472,83.9342,22.8389
0.5577,85.5599,23.0948
0.5673,87.2117,23.258
0.5776,88.877,23.3408
0.5875,90.5203,23.3928
0.6094,92.2183,23.5303
0.6104,94.1025,23.7108
0.6177,95.994,24.0099
0.6407,97.4302,24.0662
0.6418,99.0771,24.0956
0.6473,100.8344,24.1519
0.6721,102.5307,24.2209
0.6729,104.3481,24.4215
0.6775,105.9904,24.64
0.7031,107.5593,24.7514
0.7042,109.0442,24.7701
0.7073,110.7033,24.9463
0.7177,112.5859,25.2795
0.7408,114.3425,25.4695
0.7418,115.9671,25.5242
0.7473,117.5228,25.7319
0.7722,119.1863,25.9086
0.7731,121.0649,26.1536
0.7779,122.8625,26.4225
0.8029,124.5777,26.4777
0.804,126.2627,26.4315
0.8071,127.8476,26.5188
0.8205,129.4947,26.7383
0.8358,131.1739,27.0043
0.8375,132.9809,27.1843
0.8473,134.6967,27.3019
0.8577,136.3654,27.4919
0.8681,138.1184,27.7613
0.8776,139.9537,28.0611
0.8984,141.7128,28.2971
0.8996,143.4723,28.5538
